temperature_K,MagpieData mean MeltingT,MagpieData mean NUnfilled,MagpieData avg_dev CovalentRadius,MagpieData mean GSvolume_pa,MagpieData mean Number,dopant_concentration,MagpieData mean NpUnfilled,MagpieData mean MendeleevNumber,dopant_host_radius_mismatch,dopant_host_charge_mismatch,target_value
625.0,871.409,1.9925,3.3527749999999994,29.107943229152003,49.022500000000015,0.03,1.7425000000000002,82.4775,0.14,0.0,17.9
300.0,896.0074999999999,2.0,2.5,29.35416666665,50.5,0.0,1.75,82.5,0.155,1.0,8.1
673.0,886.1122500000001,2.0,2.9312499999999946,29.02087760415125,49.6,0.1,1.75,82.44999999999999,0.2299999999999997,0.0,21.000000000000004
610.0,887.6729999999999,1.9625,2.8662499999999973,28.914166666651248,49.3375,0.05,1.7125,82.25,0.04,1.0,19.2
748.0,905.2458333333332,2.6666666666666665,9.666666666666666,27.566944444433332,41.833333333333336,0.02,2.5833333333333335,83.66666666666667,0.0,0.0,18.8
300.0,866.641780104712,2.1099476439790577,2.074230421315197,30.330549738202883,50.554973821989535,0.7,1.9267015706806283,83.93979057591623,0.0,0.0,4.000000000000001
300.0,722.6077437325905,2.0445682451253484,21.786112770695446,35.084280408534816,48.20612813370474,0.04,2.0445682451253484,75.56267409470752,0.0,0.0,0.0484999999999999
570.0,886.1122500000001,2.0,2.9312499999999946,29.02087760415125,49.6,0.1,1.75,82.44999999999999,0.2299999999999997,0.0,20.0
300.0,883.7026829268294,2.048780487804878,2.2807852468768792,29.857560975592683,50.63414634146343,0.9,1.829268292682927,83.17073170731707,0.0,0.0,2.0
757.0,880.173875,2.15,2.5234375,29.669166666649996,49.9,0.15,1.9375,82.8375,0.4600000000000001,1.0,10.8
300.0,890.0821249999999,2.025,2.5303124999999973,29.26291666665,50.474999999999994,0.05,1.775,82.375,0.0399999999999999,0.0,11.999999999999998
706.0,690.7078666666667,2.3433333333333337,10.5162,26.40361666666667,41.476666666666674,0.06,2.176666666666667,82.77333333333334,0.03,1.0,7.879999999999999
300.0,896.0074999999999,2.0,2.5,29.35416666665,50.5,0.0,1.75,82.5,0.03,1.0,11.000000000000002
300.0,899.0983249999999,1.99625,2.528124999999997,29.27451666665,50.41375,0.015,1.73875,82.41,0.16,1.0,13.14
300.0,887.9659999999999,1.995,2.5350000000000033,29.414429166650496,50.415,0.02,1.745,82.535,0.14,0.0,12.96
448.0,900.5473999999999,1.98,2.5350000000000037,29.14926666665,50.28,0.04,1.72,82.28999999999999,0.42,1.0,14.3
