MagpieData avg_dev NUnfilled,temperature_K,dopant_host_radius_mismatch,MagpieData avg_dev CovalentRadius,MagpieData mean NsValence,MagpieData mean NUnfilled,dopant_concentration,MagpieData avg_dev Number,frac s valence electrons,frac_Ag,dopant_host_charge_mismatch,target_value
0.50745,303.0,0.42,2.583150000000001,1.745,1.995,0.02,1.910200000000001,0.1205526770293609,0.255,1.0,0.62
0.8000000000000002,300.0,0.03,10.522777777777778,1.8333333333333333,2.35,0.1,7.661666666666666,0.1251422070534698,0.1666666666666666,1.0,0.8
0.5313251081557442,475.0,0.0699999999999999,2.347700688992129,1.7721518987341771,2.050632911392405,0.05,2.1339528921647184,0.1221640488656195,0.2278481012658227,1.0,0.88
0.5219155176667306,300.0,0.0,1.9878841040541624,1.8167539267015709,2.1099476439790577,0.7,1.389216304377621,0.1228318584070796,0.1832460732984293,0.0,0.8
0.53615,300.0,0.19,2.580249999999995,1.75,1.955,0.06,1.8011500000000007,0.1210653753026634,0.25,1.0,0.35
0.5,300.0,0.2299999999999997,2.837499999999994,1.75,2.0,0.15,2.5993750000000015,0.1206896551724138,0.25,0.0,0.5
0.51875,673.0,0.43,11.0875,1.75,2.0125,0.05,7.887499999999999,0.1193520886615515,0.25,1.0,0.405
0.5130131286982248,300.0,0.03,2.150286612426022,1.7956730769230769,2.0721153846153846,0.01,1.5816614275147924,0.1221386527141922,0.2019230769230769,1.0,0.75
0.5,507.0,0.2299999999999997,2.837499999999994,1.75,2.0,0.15,2.5993750000000015,0.1206896551724138,0.25,0.0,0.36
0.5691395609677934,575.0,0.0699999999999999,2.347700688992144,1.7721518987341771,2.075949367088607,0.1,2.6072744752443517,0.1230228471001757,0.2278481012658227,1.0,0.52
0.5224999999999999,300.0,0.14,2.685612499999999,1.75,2.0149999999999997,0.01,1.7923500000000006,0.1209398756046993,0.25,0.0,0.47
0.6122448979591836,700.0,0.42,5.66857142857143,1.5714285714285714,1.7142857142857142,0.2,4.615510204081635,0.1145833333333333,0.3999999999999999,1.0,0.585
0.5,300.0,0.2299999999999997,2.725000000000006,1.75,2.0,0.1,2.327499999999998,0.1206896551724138,0.25,0.0,0.45
0.5313251081557442,300.0,0.0699999999999999,2.347700688992129,1.7721518987341771,2.050632911392405,0.05,2.1339528921647184,0.1221640488656195,0.2278481012658227,1.0,0.88
0.5,300.0,0.2299999999999997,2.9312499999999946,1.75,2.0,0.1,2.9199999999999995,0.1217391304347826,0.25,0.0,0.5
0.5187499999999999,300.0,0.43,2.762500000000003,1.7625,1.9875,0.05,3.2228125000000016,0.1225021720243266,0.2375,1.0,0.5
0.5,300.0,0.2299999999999997,3.2750000000000004,1.75,2.0,0.1,3.489999999999998,0.1228070175438596,0.25,0.0,0.48
0.5313251081557442,575.0,0.0699999999999999,2.347700688992129,1.7721518987341771,2.050632911392405,0.05,2.1339528921647184,0.1221640488656195,0.2278481012658227,1.0,0.72
0.4522666666666666,623.0,0.43,3.1288888888888877,1.68,1.7066666666666668,0.04,2.4319999999999986,0.1153846153846153,0.32,1.0,0.27
0.5123500000000001,300.0,0.19,2.5272500000000027,1.75,1.985,0.02,1.7673500000000002,0.1208146358301691,0.25,1.0,0.4
0.6447684665918922,475.0,0.0699999999999999,2.347700688992144,1.7721518987341771,2.1265822784810124,0.2,3.5039256529402354,0.124777183600713,0.2278481012658227,1.0,0.82
0.5,300.0,0.2299999999999997,2.837499999999994,1.75,2.0,0.15,2.5993750000000015,0.1206896551724138,0.25,0.0,0.5
0.5234979179060084,300.0,0.1300000000000001,5.461035098155858,1.7317073170731707,1.975609756097561,0.3,7.362284354550862,0.1150729335494327,0.1951219512195122,0.0,0.4
0.5,300.0,0.1300000000000001,4.834999999999997,1.75,2.0,0.2,6.3199999999999985,0.1136363636363636,0.2,0.0,0.45
0.5691395609677934,475.0,0.0699999999999999,2.347700688992144,1.7721518987341771,2.075949367088607,0.1,2.6072744752443517,0.1230228471001757,0.2278481012658227,1.0,0.75
0.5691395609677934,375.0,0.0699999999999999,2.347700688992144,1.7721518987341771,2.075949367088607,0.1,2.6072744752443517,0.1230228471001757,0.2278481012658227,1.0,0.85
0.51875,300.0,0.07,2.5,1.75,2.0125,0.05,1.7559375000000013,0.1207937877480586,0.25,1.0,0.68
0.796875,573.0,0.1180000000000001,5.40625,1.78125,2.25,0.125,1.66796875,0.125,0.21875,2.0,0.71
0.6447684665918922,575.0,0.0699999999999999,2.347700688992144,1.7721518987341771,2.1265822784810124,0.2,3.5039256529402354,0.124777183600713,0.2278481012658227,1.0,0.68
0.5000000000000001,300.0,0.2299999999999997,2.8187500000000205,1.75,2.0,0.05,2.6537499999999956,0.1217391304347826,0.25,0.0,0.52
0.5450000000000002,300.0,0.14,2.8699499999999976,1.75,2.03,0.02,1.8344000000000011,0.121191135734072,0.25,0.0,0.46
0.5143421782544378,300.0,0.1079999999999999,2.323779585798824,1.7980769230769231,2.0697115384615383,0.01,1.5173354289940817,0.1222022545335729,0.2019230769230769,0.0,0.8
0.5218682705873617,323.0,0.19,11.049726491918518,1.7512437810945276,1.9701492537313432,0.04,7.469815103586545,0.1209621993127147,0.2487562189054726,1.0,0.49
0.6122448979591838,700.0,0.42,5.6559183673469375,1.5714285714285714,1.7142857142857142,0.1,4.192653061224489,0.1145833333333333,0.4142857142857142,1.0,0.67
0.5806675295857988,300.0,0.2499999999999999,2.388810558431945,1.7980769230769231,2.1225961538461537,0.01,1.505686020710062,0.1224422982484858,0.2019230769230769,0.0,0.85
0.6099999999999999,300.0,0.43,2.5750000000000055,1.8,2.15,0.05,2.975,0.1172638436482084,0.2,1.0,0.35
0.5234979179060084,300.0,0.1300000000000001,6.110648423557411,1.7317073170731707,1.975609756097561,0.4,8.647233789411063,0.1169686985172981,0.1707317073170731,0.0,0.38
