MagpieData mean MendeleevNumber,frac p valence electrons,MagpieData mean NpValence,temperature_K,frac s valence electrons,MagpieData maximum MeltingT,MagpieData mean NpUnfilled,MagpieData range MeltingT,MagpieData avg_dev NUnfilled,MagpieData avg_dev NpValence,dopant_host_charge_mismatch,dopant_host_radius_mismatch,target_value
82.27000000000001,0.1885556704584626,2.735,400.0,0.1206480523957256,1234.93,1.735,512.2700000000001,0.5123500000000001,1.39485,0.0,0.1079999999999999,320.0
83.17073170731707,0.195,2.853658536585366,500.0,0.1216666666666666,1234.93,1.829268292682927,512.2700000000001,0.5104104699583581,1.2528256989886974,0.0,0.0,250.0
82.47,0.1916376306620209,2.75,300.0,0.1219512195121951,1234.93,1.75,846.57,0.5,1.375,0.0,0.3699999999999999,189.0
82.36,0.1861738535249829,2.72,297.0,0.1197809719370294,1234.93,1.72,1000.61,0.5244000000000001,1.4144,1.0,0.2599999999999999,239.99999999999997
82.3725,0.1893768442978649,2.7275,300.0,0.1215066828675577,1234.93,1.7275,512.2700000000001,0.5184124999999999,1.4046625,1.0,0.04,212.02
82.27499999999999,0.1871324801106883,2.705,300.0,0.1210653753026634,1234.93,1.705,640.71,0.53615,1.43365,1.0,0.19,250.0
82.42500000000001,0.1888160165688643,2.735,300.0,0.1208146358301691,1234.93,1.735,640.71,0.5123500000000001,1.39485,1.0,0.19,239.99999999999997
82.49499999999999,0.1896551724137931,2.75,500.0,0.1206896551724138,1234.93,1.75,740.9300000000001,0.5,1.375,0.0,0.2299999999999997,219.99999999999997
83.16666666666667,0.1931818181818182,2.8333333333333335,295.0,0.125,1234.93,2.1666666666666665,740.9300000000001,0.7777777777777778,1.222222222222222,1.0,0.03,194.0
82.48750000000001,0.1895154336954647,2.7475,300.0,0.120710467321952,1234.93,1.7525,729.8500000000001,0.50375,1.3774875,1.0,0.07,208.99999999999997
84.19583333333335,0.1937178565503511,2.9191666666666665,300.0,0.1271912846319747,1234.93,2.5808333333333335,969.13,0.946527777777778,1.0993055555555558,1.0,0.2499999999999997,56.99999999999999
82.5125,0.1873935264054514,2.75,300.0,0.1192504258943781,1234.93,1.75,690.5300000000001,0.5,1.375,0.0,0.2699999999999999,200.99999999999997
82.5075,0.1882916809311879,2.75,300.0,0.1198219787743923,1234.93,1.75,690.5300000000001,0.5,1.375,0.0,0.2699999999999999,244.0
82.455,0.189307156165896,2.7432499999999997,300.0,0.1206093437305914,1234.93,1.74325,512.2700000000001,0.50222975,1.3839696250000002,2.0,0.39,120.59
82.4625,0.1892358116267034,2.7425,300.0,0.1207521131619803,1234.93,1.7575,729.8500000000001,0.5112500000000002,1.3823875,1.0,0.07,229.99999999999997
82.25,0.1896551724137931,2.75,500.0,0.1206896551724138,1234.93,1.75,740.9300000000001,0.5,1.375,0.0,0.2299999999999997,300.0
82.36,0.1861738535249829,2.72,300.0,0.1197809719370294,1234.93,1.72,1000.61,0.5244000000000001,1.4144,1.0,0.2599999999999999,239.99999999999997
83.80952380952381,0.2,2.952380952380953,575.0,0.1225806451612903,1234.93,1.9047619047619049,512.2700000000001,0.5170068027210885,1.1247165532879817,0.0,0.0,239.99999999999997
82.67901234567901,0.1930272108843537,2.802469135802469,325.0,0.1224489795918367,1519.0,1.7901234567901236,796.34,0.5523548239597623,1.3147386069196767,1.0,0.0699999999999999,179.99999999999997
82.375,0.1882556131260794,2.725,300.0,0.1208981001727115,1234.93,1.775,729.8500000000001,0.5375000000000002,1.39875,1.0,0.07,179.99999999999997
82.32,0.1895300621976502,2.7424999999999997,300.0,0.1209398756046993,1234.93,1.7425,512.2700000000001,0.5224999999999999,1.3849625,0.0,0.2719999999999999,227.57
83.69,0.1959459459459459,2.9,325.0,0.1283783783783783,1234.93,2.5,740.9300000000001,0.92,1.12,0.0,0.2299999999999997,84.99999999999999
82.27000000000001,0.1885556704584626,2.735,300.0,0.1206480523957256,1234.93,1.735,512.2700000000001,0.5123500000000001,1.39485,0.0,0.1079999999999999,280.0
82.27000000000001,0.1885556704584626,2.735,500.0,0.1206480523957256,1234.93,1.735,512.2700000000001,0.5123500000000001,1.39485,0.0,0.1079999999999999,330.0
82.3125,0.1896551724137931,2.75,500.0,0.1206896551724138,1234.93,1.75,740.9300000000001,0.5,1.375,0.0,0.2299999999999997,179.99999999999997
85.8955223880597,0.2163225172074729,3.2835820895522385,300.0,0.1248770894788594,1234.93,2.08955223880597,512.2700000000001,0.4811762085096903,0.855424370683894,0.0,0.0,219.99999999999997
83.65,0.1959459459459459,2.9,325.0,0.1283783783783783,1234.93,2.5,740.9300000000001,0.92,1.12,0.0,0.2299999999999997,80.0
82.425,0.1929824561403508,2.75,300.0,0.1228070175438596,1234.93,1.75,846.57,0.5,1.375,0.0,0.2299999999999997,229.99999999999997
82.29426433915212,0.1889559965487489,2.7306733167082293,623.0,0.1211389128559102,1811.0,1.7281795511221945,1088.34,0.5099843906443369,1.4027897836456242,0.0,0.1149999999999999,270.0
82.2716049382716,0.1917808219178082,2.765432098765432,575.0,0.1232876712328767,1519.0,1.7530864197530864,796.34,0.5883249504648682,1.3656454808718184,1.0,0.0699999999999999,215.0
82.1875,0.1896551724137931,2.75,500.0,0.1206896551724138,1234.93,1.75,740.9300000000001,0.5,1.375,0.0,0.2299999999999997,399.99999999999994
