source_pdf,doi,base_composition,sample_id,full_formula,num_dopants,is_codoped,primary_dopant_element,primary_dopant_pct,primary_dopant_site,codopant_elements,all_dopants_detail,property,value,unit,temperature_value,temperature_unit,source_type,source_detail,notes,property_key,target_value,temperature_K
materials-15-02843.pdf,10.3390/ma15082843,AgSbTe2-family,AgSb0.94Cd0.06Te2,AgSb0.94Cd0.06Te2,1,No,Cd,6 mol%,Sb,,Cd (6 mol%) @ Sb site,thermal conductivity,1.0,W/m.K,300,K,figure,,Visually estimated from Fig. 8c,thermal conductivity,100000000000000.0,300.0
materials-15-02843.pdf,10.3390/ma15082843,AgSbTe2-family,AgSb0.94Cd0.06Te2,AgSb0.94Cd0.06Te2,1,No,Cd,6 mol%,Sb,,Cd (6 mol%) @ Sb site,thermal conductivity,4.5,W/m.K,900,K,figure,,Visually estimated from Fig. 8c,thermal conductivity,450000000000000.0,900.0
materials-15-02843.pdf,10.3390/ma15082843,AgSbTe2-family,AgSbTe1.85Se0.15,AgSbTe1.85Se0.15,1,No,Se,0.15,Te,,Se (0.15) @ Te site,thermal conductivity,0.8,W/m.K,300,K,figure,,Visually estimated from Fig. 8c,thermal conductivity,80000000000000.0,300.0
materials-15-02843.pdf,10.3390/ma15082843,AgSbTe2-family,AgSbTe1.85Se0.15,AgSbTe1.85Se0.15,1,No,Se,0.15,Te,,Se (0.15) @ Te site,thermal conductivity,3.5,W/m.K,900,K,figure,,Visually estimated from Fig. 8c,thermal conductivity,350000000000000.0,900.0
