temperature_K,MagpieData minimum NUnfilled,MagpieData avg_dev GSvolume_pa,frac d valence electrons,MagpieData mean SpaceGroupNumber,MagpieData mean MendeleevNumber,MagpieData mean MeltingT,frac p valence electrons,MagpieData avg_dev Electronegativity,MagpieData range CovalentRadius,dopant_host_charge_mismatch,dopant_host_radius_mismatch,target_value
622.0,2.0,2.800666666649999,0.5408328826392644,165.865,85.2,729.15485,0.16170903190914,0.1749364999999999,7.0,0.0,0.0399999999999999,0.77
425.0,1.0,5.586996666658998,0.6626905235255136,172.57,83.38,870.3549,0.1901921802518224,0.0568360000000001,8.0,1.0,0.43,0.75
425.0,1.0,5.6084799999919985,0.657030223390276,173.16,83.34,867.3232,0.1879106438896189,0.0592240000000001,8.0,1.0,0.43,0.75
425.0,1.0,5.628583333324998,0.6514657980456027,173.75,83.3,864.2915,0.1856677524429967,0.0615000000000001,8.0,1.0,0.43,0.75
425.0,1.0,5.647306666658,0.6459948320413437,174.34,83.26,861.2598000000002,0.1834625322997415,0.0636640000000001,8.0,1.0,0.43,0.75
425.0,1.0,5.628583333324998,0.6514657980456027,173.75,83.3,864.2915,0.1856677524429967,0.0615000000000001,8.0,1.0,0.43,0.4
820.0,1.0,5.066249999993747,0.6779661016949152,125.625,83.5,697.77375,0.1949152542372881,0.1999999999999999,25.0,0.0,0.0,1.0
523.0,1.0,5.066249999993747,0.6779661016949152,125.625,83.5,697.77375,0.1949152542372881,0.1999999999999999,25.0,0.0,0.0,0.7
450.0,0.0,6.036561444370701,0.6534281069709621,164.3912195121951,83.15365853658535,864.8129073170732,0.1856054569215567,0.0567116430696015,10.0,1.0,0.19,0.93
600.0,1.0,5.68071350385794,0.6512071156289707,169.9975609756098,83.39024390243902,856.0676829268293,0.1869440914866582,0.0707150505651398,26.0,1.0,0.04,1.5
300.0,1.0,5.848253109780423,0.6554878048780488,171.046511627907,83.04651162790697,865.2179069767443,0.1844512195121951,0.0714332071389941,26.0,1.0,0.04,0.2
400.0,1.0,5.848253109780423,0.6554878048780488,171.046511627907,83.04651162790697,865.2179069767443,0.1844512195121951,0.0714332071389941,26.0,1.0,0.04,0.6
500.0,1.0,5.848253109780423,0.6554878048780488,171.046511627907,83.04651162790697,865.2179069767443,0.1844512195121951,0.0714332071389941,26.0,1.0,0.04,1.1
600.0,1.0,5.848253109780423,0.6554878048780488,171.046511627907,83.04651162790697,865.2179069767443,0.1844512195121951,0.0714332071389941,26.0,1.0,0.04,1.5
300.0,1.0,7.1710927456253435,0.6693711967545639,174.96969696969694,82.60606060606061,869.6484848484848,0.1866125760649087,0.0705050505050505,8.0,1.0,0.43,0.4
400.0,1.0,7.1710927456253435,0.6693711967545639,174.96969696969694,82.60606060606061,869.6484848484848,0.1866125760649087,0.0705050505050505,8.0,1.0,0.43,0.8
500.0,1.0,7.1710927456253435,0.6693711967545639,174.96969696969694,82.60606060606061,869.6484848484848,0.1866125760649087,0.0705050505050505,8.0,1.0,0.43,1.2
600.0,1.0,7.1710927456253435,0.6693711967545639,174.96969696969694,82.60606060606061,869.6484848484848,0.1866125760649087,0.0705050505050505,8.0,1.0,0.43,1.5
300.0,1.0,7.009134948083563,0.6525911708253358,176.4411764705882,82.55882352941175,861.7355882352941,0.1804222648752399,0.0736159169550174,8.0,1.0,0.43,0.4
400.0,1.0,7.009134948083563,0.6525911708253358,176.4411764705882,82.55882352941175,861.7355882352941,0.1804222648752399,0.0736159169550174,8.0,1.0,0.43,0.8
500.0,1.0,7.009134948083563,0.6525911708253358,176.4411764705882,82.55882352941175,861.7355882352941,0.1804222648752399,0.0736159169550174,8.0,1.0,0.43,1.1
600.0,1.0,7.009134948083563,0.6525911708253358,176.4411764705882,82.55882352941175,861.7355882352941,0.1804222648752399,0.0736159169550174,8.0,1.0,0.43,1.4
300.0,1.0,7.024602076110726,0.6525911708253359,172.3823529411765,82.52941176470587,855.0102941176472,0.1804222648752399,0.0821799307958477,26.0,1.0,0.43,0.5
400.0,1.0,7.024602076110726,0.6525911708253359,172.3823529411765,82.52941176470587,855.0102941176472,0.1804222648752399,0.0821799307958477,26.0,1.0,0.43,0.9
500.0,1.0,7.024602076110726,0.6525911708253359,172.3823529411765,82.52941176470587,855.0102941176472,0.1804222648752399,0.0821799307958477,26.0,1.0,0.43,1.2
600.0,1.0,7.024602076110726,0.6525911708253359,172.3823529411765,82.52941176470587,855.0102941176472,0.1804222648752399,0.0821799307958477,26.0,1.0,0.43,1.5
300.0,1.0,2.474933333328999,0.5677655677655677,159.25,68.425,665.656,0.2014652014652014,0.39915,28.0,0.0,0.1300000000000001,0.05
300.0,1.0,5.613083333327499,0.6168831168831169,158.55,79.45,816.8665,0.1785714285714285,0.131,28.0,0.0,0.1300000000000001,0.05
300.0,1.0,5.508141978975609,0.6158833063209076,160.2682926829268,77.5609756097561,805.9885365853659,0.1782820097244732,0.1657108863771564,28.0,0.0,0.1300000000000001,0.05
300.0,1.0,5.047225857620461,0.6095551894563427,160.3658536585366,76.02439024390245,784.9139024390245,0.1812191103789126,0.2014039262343842,28.0,0.0,0.1300000000000001,0.05
523.0,1.0,5.508141978975609,0.6158833063209076,160.2682926829268,77.5609756097561,805.9885365853659,0.1782820097244732,0.1657108863771564,28.0,0.0,0.1300000000000001,0.45
650.0,1.0,6.517420208324751,0.6850488097276931,174.1925,82.47,893.733725,0.1878746360678198,0.05855,8.0,1.0,0.43,1.7
300.0,1.0,6.512083333324999,0.6896551724137931,173.75,82.5,896.0074999999999,0.1896551724137931,0.0575,7.0,1.0,0.43,0.5
300.0,1.0,6.517420208324751,0.6850488097276931,174.1925,82.47,893.733725,0.1878746360678198,0.05855,8.0,1.0,0.43,0.6
650.0,1.0,6.517420208324751,0.6850488097276931,174.1925,82.47,893.733725,0.1878746360678198,0.05855,8.0,1.0,0.43,1.7
300.0,1.0,6.512083333324999,0.6896551724137931,173.75,82.5,896.0074999999999,0.1896551724137931,0.0575,7.0,0.0,0.2299999999999997,0.4
600.0,1.0,6.512083333324999,0.6896551724137931,173.75,82.5,896.0074999999999,0.1896551724137931,0.0575,7.0,0.0,0.2299999999999997,1.2
300.0,1.0,6.539903124991466,0.6896551724137931,172.025,82.4875,893.1492499999999,0.1896551724137931,0.0606250000000001,25.0,0.0,0.2299999999999997,0.45
600.0,1.0,6.539903124991466,0.6896551724137931,172.025,82.4875,893.1492499999999,0.1896551724137931,0.0606250000000001,25.0,0.0,0.2299999999999997,1.4
300.0,1.0,6.562195833324624,0.6896551724137931,170.29999999999998,82.475,890.291,0.1896551724137931,0.0662500000000001,25.0,0.0,0.2299999999999997,0.5
600.0,1.0,6.562195833324624,0.6896551724137931,170.29999999999998,82.475,890.291,0.1896551724137931,0.0662500000000001,25.0,0.0,0.2299999999999997,1.6
300.0,1.0,6.578961458324467,0.6896551724137931,168.57500000000002,82.4625,887.43275,0.1896551724137931,0.071875,25.0,0.0,0.2299999999999997,0.55
600.0,1.0,6.578961458324467,0.6896551724137931,168.57500000000002,82.4625,887.43275,0.1896551724137931,0.071875,25.0,0.0,0.2299999999999997,2.0
300.0,1.0,6.590199999990999,0.6896551724137931,166.85,82.45,884.5745000000001,0.1896551724137931,0.0775000000000001,25.0,0.0,0.2299999999999997,0.6
600.0,1.0,6.590199999990999,0.6896551724137931,166.85,82.45,884.5745000000001,0.1896551724137931,0.0775000000000001,25.0,0.0,0.2299999999999997,1.8
623.0,1.0,6.514095833324999,0.689404432132964,173.89,82.135,900.4836,0.1894044321329639,0.0636335,52.0,0.0,0.14,1.92
300.0,1.0,6.513089583325,0.6895300621976502,173.82,82.3175,898.2455499999999,0.1895300621976502,0.060577125,52.0,0.0,0.14,0.7
300.0,1.0,6.514095833324999,0.689404432132964,173.89,82.135,900.4836,0.1894044321329639,0.0636335,52.0,0.0,0.14,0.75
300.0,1.0,6.515102083324999,0.6892782789729355,173.95999999999998,81.9525,902.72165,0.1892782789729354,0.0666691249999999,52.0,0.0,0.14,0.72
627.0,1.0,3.303030303017528,0.5130315500685871,176.3475935828877,85.32085561497327,675.8631550802139,0.1552812071330589,0.1131058937916442,8.0,1.0,0.04,1.45
673.0,1.0,6.581332747386969,0.6869565217391305,169.275,82.44999999999999,886.1122500000001,0.1913043478260869,0.0722500000000001,40.0,0.0,0.2299999999999997,2.3
673.0,1.0,6.564608723949624,0.6869565217391306,171.00000000000003,82.4625,888.9705000000001,0.1913043478260869,0.0666250000000001,40.0,0.0,0.2299999999999997,1.8
